// 13-04-2021 - Sebastiaan Craens - week tot <= 16.04
matLen 2800
cutLen 5
A 10x548 15.04.2021
B 5x718 13.04.2021
C 5x718 06.04.2021
//D 5x743 20.04.2021
E 5x743 08.04.2021
F 100x91 15.04.2021
//G 25x328 20.04.2021
//H 70x256 19.04.2021
//I 35x256 23.04.2021
//J 20x120 21.04.2021
//K 10x75 21.04.2021
//L 200x470 ?
M 40x775 12.04.2021
O 10x685 13.04.2021
//P 3x682 30.04.2021
Q 10x682 16.04.2021
//R 10x682 26.04.2021
//S 5x601 29.04.2021
//T 5x619 28.04.2021
//U 4x601 29.04.2021
//V 5x672 29.04.2021
//W 5x601 29.04.2021
//X 5x597 28.04.2021
//Y 50x28 21.04.2021
//Z 15x601 19.04.2021
